Wavelength	Intensity
609.254348204421	283.35000610351563
609.530868428927	213.89999389648438
609.80738464639512	223.94999694824219
610.08389685527573	243.25
610.360405054019	251.60000610351563
610.636909241075	282.14999389648438
610.91340941489489	296.60000610351563
611.18990557392863	278.35000610351563
611.46639771662683	274.70001220703125
611.74288584144051	279.29998779296875
612.01936994681978	231.10000610351563
612.29585003121588	269.20001220703125
612.57232609307971	242.69999694824219
612.84879813086206	258.04998779296875
613.1252661430135	301.04998779296875
613.4017301279863	282
613.67819008423032	189.25
613.95464601019751	154.44999694824219
614.23109790433864	160.25
614.50754576510576	168.75
614.78398959094977	155.80000305175781
615.06042938032272	181.10000610351563
615.336865131676	256.25
615.6132968434606	341.20001220703125
615.88972451412963	364.79998779296875
616.16614814213358	299.75
616.44256772592519	267.54998779296875
616.71898326395637	229.14999389648438
616.99539475467839	214.10000610351563
617.2718021965444	307
617.54820558800589	318.89999389648438
617.82460492751568	261.35000610351563
618.10100021352571	236.35000610351563
618.37739144448824	305.95001220703125
618.65377861885588	300.39999389648438
618.93016173508181	247.30000305175781
619.20654079161807	207.80000305175781
619.48291578691749	196.39999389648438
619.75928671943234	214.85000610351563
620.03565358761659	309.5
620.31201638992229	259.60000610351563
620.58837512480284	208.55000305175781
620.86472979071107	270.75
621.14108038610061	381.70001220703125
621.41742690942419	370.5
621.6937693591359	302.85000610351563
621.97010773368777	262.35000610351563
622.24644203153468	280.64999389648438
622.52277225112914	268.20001220703125
622.79909839092522	218.85000610351563
623.07542044937645	237.10000610351563
623.35173842493691	225.94999694824219
623.62805231606012	233.60000610351563
623.90436212120039	227.35000610351563
624.18066783881147	188.80000305175781
624.45696946734665	185.19999694824219
624.73326700526115	261.25
625.00956045100941	234.64999389648438
625.28584980304447	313
625.56213505982134	323.14999389648438
625.838416219795	210.94999694824219
626.11469328141914	191.5
626.39096624314845	199
626.6672351034382	225.25
626.94349986074258	283.64999389648438
627.219760513517	260.29998779296875
627.49601706021542	233.19999694824219
627.77226949929377	249.94999694824219
628.04851782920616	242.30000305175781
628.32476204840862	279.04998779296875
628.60100215535567	360.29998779296875
628.87723814850312	288.5
629.15347002630574	244.5
629.42969778721977	277.79998779296875
629.7059214297	350.60000610351563
629.98214095220226	413.20001220703125
630.258356353182	438.20001220703125
630.53456763109546	511.29998779296875
630.810774784398	537.20001220703125
631.08697781154581	529.8499755859375
631.36317671099437	404.95001220703125
631.6393714812	325.75
631.91556212061892	422.85000610351563
632.1917486277074	488.25
632.46793100092145	481.45001220703125
632.74410923871767	433.64999389648438
633.02028333955263	418.45001220703125
633.29645330188225	426.45001220703125
633.57261912416311	401.5
633.84878080485248	347
634.12493834240672	385.20001220703125
634.40109173528276	395.20001220703125
634.67724098193719	392.70001220703125
634.95338608082693	415.79998779296875
635.22952703040983	400.60000610351563
635.505663829142	380.75
635.78179647548166	398.64999389648438
636.05792496788513	415.75
636.33404930481015	488.89999389648438
636.61016948471377	573.0999755859375
636.88628550605461	458.45001220703125
637.16239736728869	511.60000610351563
637.43850506687477	644.0999755859375
637.71460860327034	552.6500244140625
637.99070797493323	433.10000610351563
638.26680318032106	427.35000610351563
638.54289421789213	510.85000610351563
638.81898108610415	561.6500244140625
639.09506378341553	490.75
639.37114230828456	462.29998779296875
639.64721665916863	452.14999389648438
639.92328683452763	565.54998779296875
640.1993528328187	586.29998779296875
640.47541465250083	531.5
640.7514722920323	467.95001220703125
641.02752574987244	560.54998779296875
641.3035750244793	597.3499755859375
641.57962011431243	491.35000610351563
641.85566101782979	390.70001220703125
642.13169773349125	359.75
642.40773025975534	334.20001220703125
642.683758595081	331.04998779296875
642.95978273792821	430.45001220703125
643.23580268675573	414.39999389648438
643.51181844002349	470.45001220703125
643.78782999618966	641.8499755859375
644.06383735371514	628.29998779296875
644.33984051105858	649.29998779296875
644.61583946668054	516.45001220703125
644.89183421904022	394.79998779296875
645.167824766597	377.95001220703125
645.44381110781171	393.39999389648438
645.71979324114409	482.54998779296875
645.99577116505441	488.35000610351563
646.271744878002	438.04998779296875
646.54771437844784	426.89999389648438
646.82367966485151	554.20001220703125
647.09964073567437	640.6500244140625
647.375597589377	553.70001220703125
647.65155022441888	486
647.92749863926065	473.95001220703125
648.203442832364	458.35000610351563
648.47938280218955	477.64999389648438
648.75531854719725	468.75
649.03125006584867	396.14999389648438
649.307177356605	419.54998779296875
649.5831004179272	497.20001220703125
649.85901924827635	432.45001220703125
650.13493384611377	462.20001220703125
650.410844209901	429.60000610351563
650.686750338099	370.70001220703125
650.96265222916929	539.1500244140625
651.23854988157393	596.95001220703125
651.51444329377443	542.1500244140625
651.79033246423273	562.4000244140625
652.06621739140974	568.45001220703125
652.34209807376862	499.60000610351563
652.61797450977008	424.75
652.89384669787739	370.70001220703125
653.16971463655193	432.45001220703125
653.44557832425585	510.20001220703125
653.72143775945176	463.10000610351563
653.997292940602	458.29998779296875
654.273143866169	491.75
654.54899053461543	521.29998779296875
654.82483294440362	440.85000610351563
655.10067109399665	395.89999389648438
655.37650498185678	453.79998779296875
655.65233460644731	517.5999755859375
655.92815996623108	561.20001220703125
656.20398105967092	536.9000244140625
656.47979788523037	490.54998779296875
656.75561044137226	567.25
657.03141872655954	617.5999755859375
657.30722273925585	554.6500244140625
657.58302247792517	442.35000610351563
657.85881794103022	420.60000610351563
658.134609127035	423.5
658.41039603440311	410.25
658.686178661598	406.64999389648438
658.96195700708415	468.29998779296875
659.23773106932424	447.35000610351563
659.51350084678381	394.54998779296875
659.789266337926	301.75
660.06502754121493	341.5
660.340784455115	400.64999389648438
660.61653707809114	421.70001220703125
660.89228540860677	349.60000610351563
661.16802944512654	314.39999389648438
661.44376918611533	308.5
661.7195046300377	355.39999389648438
661.9952357753582	421.45001220703125
662.27096262054215	477.10000610351563
662.54668516405343	489.29998779296875
662.8224034043584	536.8499755859375
663.09811733992092	457.95001220703125
663.37382696920622	465
663.64953229068	429.20001220703125
663.9252333028071	324.60000610351563
664.20093000405336	275.14999389648438
664.47662239288445	285.35000610351563
664.7523104677648	334.25
665.02799422716055	334.85000610351563
665.3036736695376	387.75
665.57934879336187	480.54998779296875
665.85501959709882	469.5
666.13068607921491	393.75
666.40634823817516	358.25
666.6820060724466	389.60000610351563
666.95765958049526	479
667.23330876078739	531
667.5089536117888	488.64999389648438
667.7845941319664	423.25
668.06023031978691	364
668.33586217371646	440.29998779296875
668.61148969222165	498.29998779296875
668.88711287377021	512.25
669.16273171682769	551.1500244140625
669.43834621986241	632.6500244140625
669.71395638133959	661.5999755859375
669.989562199728	571.0999755859375
670.26516367349359	491.64999389648438
670.54076080110462	466.04998779296875
670.81635358102778	431
671.09194201173079	381.54998779296875
671.3675260916807	328.29998779296875
671.64310581934581	358.25
671.91868119319327	421.70001220703125
672.19425221169081	427.70001220703125
672.46981887330662	384.54998779296875
672.74538117650832	362.10000610351563
673.020939119764	375.89999389648438
673.29649270154175	390.45001220703125
673.57204192030952	403.89999389648438
673.84758677453635	468.45001220703125
674.12312726268954	477.85000610351563
674.39866338323816	310.14999389648438
674.67419513465029	276.25
674.9497225153948	338.95001220703125
675.22524552394054	350.70001220703125
675.5007641587556	334.10000610351563
675.77627841830929	335.10000610351563
676.05178830107081	377.14999389648438
676.32729380550836	385.20001220703125
676.60279493009159	356.39999389648438
676.8782916732896	284.14999389648438
677.15378403357136	255.5
677.42927200940665	267.25
677.70475559926479	283.10000610351563
677.98023480161476	296.39999389648438
678.25570961492667	357.20001220703125
678.53118003767	484.64999389648438
678.80664606831442	562.20001220703125
679.08210770533	401.60000610351563
679.35756494718692	325.29998779296875
679.63301779235417	305.35000610351563
679.90846623930258	325
680.18391028650262	421.45001220703125
680.45934993242372	526.04998779296875
680.73478517553713	485.54998779296875
681.01021601431239	405.60000610351563
681.28564244722031	427.45001220703125
681.5610644727318	439.85000610351563
681.83648208931675	367.95001220703125
682.11189529544674	377
682.3873040895927	432.45001220703125
682.662708470225	367.54998779296875
682.9381084358148	396.75
683.21350398483344	530.0999755859375
683.48889511575146	529.29998779296875
683.76428182704069	521.20001220703125
684.03966411717238	589.9000244140625
684.31504198461857	581.29998779296875
684.59041542784962	451.89999389648438
684.86578444533768	458.10000610351563
685.14114903555458	459.95001220703125
685.41650919697179	308.79998779296875
685.69186492806114	292.89999389648438
685.96721622729524	347.89999389648438
686.24256309314535	354.10000610351563
