Wavelength	Intensity
609.254348204421	1445.449951171875
609.530868428927	1375.5
609.80738464639512	1341.5
610.08389685527573	1262.699951171875
610.360405054019	1306.050048828125
610.636909241075	1257.6500244140625
610.91340941489489	1157.75
611.18990557392863	1288.199951171875
611.46639771662683	1271
611.74288584144051	1234.699951171875
612.01936994681978	1282.800048828125
612.29585003121588	1227.699951171875
612.57232609307971	1165.5999755859375
612.84879813086206	1105.8499755859375
613.1252661430135	1218.949951171875
613.4017301279863	1209.550048828125
613.67819008423032	1259.0999755859375
613.95464601019751	1324.699951171875
614.23109790433864	1223.050048828125
614.50754576510576	1113.449951171875
614.78398959094977	1073.75
615.06042938032272	1140.300048828125
615.336865131676	1191.25
615.6132968434606	1180.199951171875
615.88972451412963	1237.6500244140625
616.16614814213358	1382.050048828125
616.44256772592519	1538.1500244140625
616.71898326395637	1465.5999755859375
616.99539475467839	1189.699951171875
617.2718021965444	1120.5
617.54820558800589	1123.949951171875
617.82460492751568	1255.8499755859375
618.10100021352571	1401.300048828125
618.37739144448824	1586.050048828125
618.65377861885588	1489.5
618.93016173508181	1335.199951171875
619.20654079161807	1123.9000244140625
619.48291578691749	1085.9000244140625
619.75928671943234	1207.699951171875
620.03565358761659	1230.4000244140625
620.31201638992229	1051.9000244140625
620.58837512480284	1115
620.86472979071107	1251.0999755859375
621.14108038610061	1154.0999755859375
621.41742690942419	1117.1500244140625
621.6937693591359	1172.8499755859375
621.97010773368777	1211.0999755859375
622.24644203153468	1358.5999755859375
622.52277225112914	1472.449951171875
622.79909839092522	1475.800048828125
623.07542044937645	1392.199951171875
623.35173842493691	1402.1500244140625
623.62805231606012	1382.699951171875
623.90436212120039	1307.5999755859375
624.18066783881147	1199.5
624.45696946734665	1134.199951171875
624.73326700526115	1184.3499755859375
625.00956045100941	1371.050048828125
625.28584980304447	1596.5999755859375
625.56213505982134	1619.3499755859375
625.838416219795	1527.9000244140625
626.11469328141914	1483.6500244140625
626.39096624314845	1429.25
626.6672351034382	1406.5
626.94349986074258	1381.449951171875
627.219760513517	1460.4000244140625
627.49601706021542	1487.199951171875
627.77226949929377	1512.9000244140625
628.04851782920616	1564.699951171875
628.32476204840862	1618.5999755859375
628.60100215535567	1660.0999755859375
628.87723814850312	1893.949951171875
629.15347002630574	1957.449951171875
629.42969778721977	1781.5
629.7059214297	1719.3499755859375
629.98214095220226	1820.300048828125
630.258356353182	2100.449951171875
630.53456763109546	1994.25
630.810774784398	2025.75
631.08697781154581	2182.800048828125
631.36317671099437	2211.35009765625
631.6393714812	2018.9000244140625
631.91556212061892	1771.800048828125
632.1917486277074	1721.800048828125
632.46793100092145	1716.949951171875
632.74410923871767	1699.0999755859375
633.02028333955263	2011.949951171875
633.29645330188225	2252.64990234375
633.57261912416311	2119.75
633.84878080485248	1832.949951171875
634.12493834240672	1881.5999755859375
634.40109173528276	2078.25
634.67724098193719	1967.300048828125
634.95338608082693	1927.699951171875
635.22952703040983	2100.64990234375
635.505663829142	2271.35009765625
635.78179647548166	2450.25
636.05792496788513	2440.14990234375
636.33404930481015	2383.75
636.61016948471377	2268.199951171875
636.88628550605461	2158.699951171875
637.16239736728869	2165.449951171875
637.43850506687477	2444.800048828125
637.71460860327034	2257.14990234375
637.99070797493323	2090.5
638.26680318032106	1985.949951171875
638.54289421789213	1829.199951171875
638.81898108610415	1931.75
639.09506378341553	2190.199951171875
639.37114230828456	2023.5
639.64721665916863	1954.199951171875
639.92328683452763	2263.199951171875
640.1993528328187	2236.14990234375
640.47541465250083	2017.300048828125
640.7514722920323	2090.25
641.02752574987244	2315.35009765625
641.3035750244793	2312.800048828125
641.57962011431243	2235.89990234375
641.85566101782979	2124
642.13169773349125	2076.550048828125
642.40773025975534	2113.050048828125
642.683758595081	2247.60009765625
642.95978273792821	2336.35009765625
643.23580268675573	2349.75
643.51181844002349	2243.35009765625
643.78782999618966	2055.85009765625
644.06383735371514	1944.949951171875
644.33984051105858	1967.699951171875
644.61583946668054	2131.550048828125
644.89183421904022	2306.14990234375
645.167824766597	2339.14990234375
645.44381110781171	2420
645.71979324114409	2547.949951171875
645.99577116505441	2362.949951171875
646.271744878002	2083.89990234375
646.54771437844784	2275
646.82367966485151	2493.60009765625
647.09964073567437	2339.699951171875
647.375597589377	2375.64990234375
647.65155022441888	2257.550048828125
647.92749863926065	2152.050048828125
648.203442832364	2444.14990234375
648.47938280218955	2423.39990234375
648.75531854719725	2249.449951171875
649.03125006584867	2276.14990234375
649.307177356605	2293.39990234375
649.5831004179272	2232.550048828125
649.85901924827635	2304.800048828125
650.13493384611377	2641.949951171875
650.410844209901	2705.550048828125
650.686750338099	2499.5
650.96265222916929	2284.25
651.23854988157393	2141.199951171875
651.51444329377443	2140.300048828125
651.79033246423273	1880.6500244140625
