0.272	2.2242E-09	0.272																	
0.272	2.2431E-09	0.272																	
0.276	2.2219E-09	0.276																	
0.28	2.3667E-09	0.28																	
0.296	2.417E-09	0.296																	
0.3	2.5961E-09	0.3																	
0.316	2.6596E-09	0.316																	
0.312	2.6871E-09	0.312																	
0.308	2.6705E-09	0.308																	
0.32	2.7689E-09	0.32																	
0.332	2.892E-09	0.332																	
0.332	2.845E-09	0.332																	
0.348	3.3091E-09	0.348																	
0.356	3.3085E-09	0.356																	
0.356	3.2925E-09	0.356																	
0.356	3.2633E-09	0.356																	
0.348	3.332E-09	0.348																	
0.348	3.265E-09	0.348																	
0.352	3.4653E-09	0.352																	
0.372	3.7497E-09	0.372																	
0.376	3.6147E-09	0.376																	
0.376	3.8127E-09	0.376																	
0.388	3.8767E-09	0.388																	
0.404	4.2309E-09	0.404																	
0.42	4.6761E-09	0.42																	
0.432	4.893E-09	0.432																	
0.432	4.8999E-09	0.432																	
0.444	4.9685E-09	0.444																	
0.456	5.3714E-09	0.456																	
0.468	5.3714E-09	0.468																	
0.476	5.7473E-09	0.476																	
0.484	6.3235E-09	0.484																	
0.488	5.7685E-09	0.488																	
0.496	6.6434E-09	0.496																	
0.516	7.0583E-09	0.516																	
0.512	6.9261E-09	0.512																	
0.528	7.4245E-09	0.528																	
0.524	7.2499E-09	0.524																	
0.54	7.6516E-09	0.54																	
0.54	7.5824E-09	0.54																	
0.548	8.0842E-09	0.548																	
0.552	8.098E-09	0.552																	
0.548	7.924E-09	0.548																	
0.556	8.5769E-09	0.556																	
0.56	8.5946E-09	0.56																	
0.576	8.9013E-09	0.576																	
0.576	9.3065E-09	0.576																	
0.568	9.3608E-09	0.568																	
0.576	9.1938E-09	0.576																	
0.584	9.5451E-09	0.584																	
0.6	9.917E-09	0.6																	
0.6	1.0851E-08	0.6																	
0.624	1.118E-08	0.624																	
0.632	1.0065E-08	0.632																	
0.632	1.1175E-08	0.632																	
0.648	1.1827E-08	0.648																	
0.64	1.2083E-08	0.64																	
0.656	1.1464E-08	0.656																	
0.664	1.3414E-08	0.664																	
0.664	1.2229E-08	0.664																	
0.664	1.2357E-08	0.664																	
0.672	1.2622E-08	0.672																	
0.68	1.2784E-08	0.68																	
0.68	1.3172E-08	0.68																	
0.672	1.4845E-08	0.672																	
0.688	1.4044E-08	0.688																	
0.688	1.4054E-08	0.688																	
0.688	1.4659E-08	0.688																	
0.696	1.3791E-08	0.696																	
0.704	1.5454E-08	0.704																	
0.704	1.4696E-08	0.704																	
0.736	1.5876E-08	0.736																	
0.744	1.7264E-08	0.744																	
0.744	1.705E-08	0.744																	
0.744	1.7148E-08	0.744																	
0.76	1.6363E-08	0.76																	
0.736	1.5914E-08	0.736																	
0.744	1.7207E-08	0.744																	
0.752	1.707E-08	0.752																	
0.752	1.8993E-08	0.752																	
0.752	1.8621E-08	0.752																	
0.76	1.634E-08	0.76																	
0.768	1.6199E-08	0.768																	
0.784	1.8713E-08	0.784																	
0.768	1.7078E-08	0.768																	
0.784	2.0815E-08	0.784																	
0.776	2.0011E-08	0.776																	
0.784	1.9298E-08	0.784																	
0.808	2.2787E-08	0.808																	
0.832	2.2664E-08	0.832																	
0.808	2.2044E-08	0.808																	
0.816	2.2703E-08	0.816																	
0.816	2.2917E-08	0.816																	
0.816	2.2601E-08	0.816																	
0.824	2.3335E-08	0.824																	
0.864	2.3469E-08	0.864																	
0.864	2.5537E-08	0.864																	
0.88	2.3439E-08	0.88																	
0.888	2.8457E-08	0.888																	
0.896	2.5042E-08	0.896																	
0.896	2.5866E-08	0.896																	
0.888	2.5719E-08	0.888																	
0.896	2.7574E-08	0.896																	
0.888	2.5835E-08	0.888																	
0.896	2.6911E-08	0.896																	
0.904	2.5595E-08	0.904																	
0.904	2.8462E-08	0.904																	
0.904	2.7953E-08	0.904																	
0.888	2.7403E-08	0.888																	
0.864	2.6591E-08	0.864																	
0.888	2.7472E-08	0.888																	
0.88	2.7472E-08	0.88																	
0.888	2.948E-08	0.888																	
0.912	3.0287E-08	0.912																	
0.912	3.0991E-08	0.912																	
0.912	2.7781E-08	0.912																	
0.92	2.7094E-08	0.92																	
0.92	3.2273E-08	0.92																	
0.936	3.0344E-08	0.936																	
0.976	3.158E-08	0.976																	
0.976	3.3211E-08	0.976																	
0.976	3.5849E-08	0.976																	
0.992	3.3726E-08	0.992																	
0.992	3.4705E-08	0.992																	
0.992	3.5958E-08	0.992																	
1.016	3.5025E-08	1.016																	
1.024	3.9929E-08	1.024																	
1.02	3.8642E-08	1.02																	
1.04	3.8825E-08	1.04																	
1.04	4.0558E-08	1.04																	
1.04	4.2453E-08	1.04																	
1.1	4.2727E-08	1.1																	
1.14	4.2664E-08	1.14																	
1.14	4.4244E-08	1.14																	
1.14	4.6893E-08	1.14																	
1.14	4.2218E-08	1.14																	
1.16	4.4764E-08	1.16																	
1.16	5.1219E-08	1.16																	
1.18	4.8329E-08	1.18																	
1.14	4.4181E-08	1.14																	
1.12	4.5399E-08	1.12																	
1.2	5.008E-08	1.2																	
1.24	6.181E-08	1.24																	
1.26	6.0357E-08	1.26																	
1.2	5.1722E-08	1.2																	
1.14	4.4896E-08	1.14																	
1.2	5.8114E-08	1.2																	
1.24	5.7055E-08	1.24																	
1.26	5.6809E-08	1.26																	
1.28	5.939E-08	1.28																	
1.3	6.43E-08	1.3																	
1.3	6.1971E-08	1.3																	
1.32	6.4385E-08	1.32																	
1.3	6.7252E-08	1.3																	
1.32	6.8883E-08	1.32																	
1.32	6.8809E-08	1.32																	
1.34	7.2803E-08	1.34																	
1.34	7.1149E-08	1.34																	
1.34	6.4477E-08	1.34																	
