,T,A,G,E,Date,Time,Substrate,E_pump,n,PLQY
0,80,1,20,400,2022-Oct-17,12:41:39,Glass,4.384000000000001e-09,4.774302285188256e+16,5.695108733271326e-13
0,80,1,20,406,2022-Oct-17,12:40:58,Glass,4.529915571040001e-09,4.9332085452842456e+16,5.667814882916568e-13
0,80,1,20,438,2022-Oct-17,12:40:16,Glass,5.365817676640001e-09,5.843530017218495e+16,3.7045604920591813e-13
0,80,10,100,54,2022-Oct-17,11:40:59,Glass,4.8354152944e-10,5265906544226314.0,1.1185768743302362e-13
0,80,3,100,162,2022-Oct-17,12:25:43,Glass,9.3512564464e-10,1.01837876417493e+16,2.119359628953653e-13
0,80,1,20,532,2022-Oct-17,12:54:38,Glass,8.41791687424e-09,9.167353961954562e+16,5.448171680377522e-13
0,80,8,100,82,2022-Oct-17,12:47:57,Glass,5.5739459824e-10,6070187737520123.0,1.2739091810697226e-13
0,80,4,100,100,2022-Oct-17,11:59:33,Glass,6.19e-10,6741088308694183.0,4.0030186467032375e-13
0,299,80,100,160,2022-Oct-18,17:11:37,Glass,9.220864000000002e-10,1.0041786511544278e+16,1.76060600539447e-14
0,120,1,30,504,2022-Oct-18,13:32:39,Glass,7.41184927744e-09,8.071717368328629e+16,3.454823512368376e-13
0,240,1,100,550,2022-Oct-18,16:53:52,Glass,9.109937500000003e-09,9.920984357703512e+16,1.5361190599554695e-13
0,200,3,100,300,2022-Oct-18,16:25:27,Glass,2.4189999999999996e-09,2.6343606815397784e+16,1.23865945115532e-13
0,240,80,100,100,2022-Oct-18,17:04:07,Glass,6.19e-10,6741088308694183.0,2.2356304284368262e-14
0,160,1,50,400,2022-Oct-18,14:43:31,Glass,4.384000000000001e-09,4.774302285188256e+16,1.9502272227528357e-13
0,160,6,100,160,2022-Oct-18,14:39:33,Glass,9.220864000000002e-10,1.0041786511544278e+16,1.4443529444697686e-13
0,120,3,100,200,2022-Oct-18,14:05:13,Glass,1.2240000000000001e-09,1.3329712584558448e+16,1.7288307783167246e-13
0,299,1,100,650,2022-Oct-18,17:39:17,Glass,1.3629937500000002e-08,1.4843394560497968e+17,6.294339786091809e-14
0,299,20,100,250,2022-Oct-18,17:31:16,Glass,1.7359375000000001e-09,1.890485942790599e+16,3.080383140173408e-14
0,120,1,50,420,2022-Oct-18,13:27:09,Glass,4.8835504e-09,5.3183270608010984e+16,2.419656082089496e-13
0,200,60,100,40,2022-Oct-18,15:18:17,Glass,4.553344e-10,4958722779299323.0,2.0269607231757293e-14
0,120,1,10,660,2022-Oct-18,13:43:56,Glass,1.4147166400000001e-08,1.5406671731856413e+17,4.0479850089989253e-13
0,200,10,100,200,2022-Oct-18,16:27:08,Glass,1.2240000000000001e-09,1.3329712584558448e+16,5.687020109242013e-14
0,240,100,100,60,2022-Oct-18,16:36:28,Glass,4.973104e-10,5415853510875651.0,2.006364249535888e-14
0,120,2,80,300,2022-Oct-18,13:59:05,Glass,2.4189999999999996e-09,2.6343606815397784e+16,2.646129023414347e-13
0,299,40,100,200,2022-Oct-18,17:32:56,Glass,1.2240000000000001e-09,1.3329712584558448e+16,2.5382798640838628e-14
0,120,1,20,460,2022-Oct-18,13:46:46,Glass,5.998494400000001e-09,6.532533193797662e+16,4.2566171832780473e-13
0,299,1,100,740,2022-Oct-18,17:18:44,Glass,1.87311024e-08,2.039871008038668e+17,6.794953337162296e-14
0,160,2,100,300,2022-Oct-18,14:58:05,Glass,2.4189999999999996e-09,2.6343606815397784e+16,1.466760033424888e-13
0,120,4,100,166,2022-Oct-18,13:22:54,Glass,9.618265086400002e-10,1.0474567742140952e+16,1.3110868185891048e-13
0,200,1,50,550,2022-Oct-18,16:01:36,Glass,9.109937500000003e-09,9.920984357703512e+16,1.6049498237982712e-13
0,120,15,100,80,2022-Oct-18,14:10:57,Glass,5.512704e-10,6003493454554386.0,8.062916667526484e-14
0,200,1,30,660,2022-Oct-18,16:14:05,Glass,1.4147166400000001e-08,1.5406671731856413e+17,1.9616747228501127e-13
0,160,1,50,460,2022-Oct-18,14:53:40,Glass,5.998494400000001e-09,6.532533193797662e+16,2.605860208034098e-13
0,240,3,100,460,2022-Oct-18,16:57:43,Glass,5.998494400000001e-09,6.532533193797662e+16,6.021869010256546e-14
0,120,50,100,46,2022-Oct-18,13:18:11,Glass,4.6677666544e-10,5083332345991664.0,3.308158973823153e-14
0,160,20,100,100,2022-Oct-18,15:00:42,Glass,6.19e-10,6741088308694183.0,6.854020172434362e-14
0,240,1,100,600,2022-Oct-18,16:55:27,Glass,1.1224e-08,1.2223259317735624e+17,8.544708027475008e-14
0,299,3,100,480,2022-Oct-18,17:26:17,Glass,6.6160384e-09,7.20505639872565e+16,6.798780821953937e-14
0,160,50,100,0,2022-Oct-18,14:30:12,Glass,4e-10,4356115223711912.0,3.2072435981336655e-14
0,240,40,100,160,2022-Oct-18,16:41:18,Glass,9.220864000000002e-10,1.0041786511544278e+16,3.428921460313463e-14
0,299,7,100,410,2022-Oct-18,17:13:46,Glass,4.629063899999999e-09,5.041183931581307e+16,3.8465237802678755e-14
0,160,1,20,600,2022-Oct-18,14:51:21,Glass,1.1224e-08,1.2223259317735624e+17,3.883067320913769e-13
0,240,3,100,410,2022-Oct-18,16:44:45,Glass,4.629063899999999e-09,5.041183931581307e+16,7.425403830899009e-14
0,200,50,100,80,2022-Oct-18,16:30:02,Glass,5.512704e-10,6003493454554386.0,2.6992472226128976e-14
0,240,10,100,300,2022-Oct-18,17:00:19,Glass,2.4189999999999996e-09,2.6343606815397784e+16,4.9269522912892204e-14
0,200,20,100,160,2022-Oct-18,15:55:13,Glass,9.220864000000002e-10,1.0041786511544278e+16,5.2627591750717427e-14
0,200,2,100,400,2022-Oct-18,15:59:17,Glass,4.384000000000001e-09,4.774302285188256e+16,1.0835143564335948e-13
0,299,80,100,100,2022-Oct-18,17:35:51,Glass,6.19e-10,6741088308694183.0,1.5333643248008762e-14
0,200,1,100,450,2022-Oct-18,16:22:40,Glass,5.704937500000001e-09,6.212841273518746e+16,1.1921314267263532e-13
0,299,3,100,550,2022-Oct-18,17:16:23,Glass,9.109937500000003e-09,9.920984357703512e+16,4.3328039451127296e-14
0,160,1,30,550,2022-Oct-18,14:45:59,Glass,9.109937500000003e-09,9.920984357703512e+16,2.430994675475479e-13
0,299,10,100,300,2022-Oct-18,17:28:22,Glass,2.4189999999999996e-09,2.6343606815397784e+16,4.1670044497136456e-14
0,160,8,100,440,2022-Oct-26,14:34:52,Silicon,5.4213504e-09,5.9040067526291656e+16,1.2504158717363786e-14
