,Date,Time,Substrate,T,A,G,E,E_pump,n,PLQY
51,2022-Oct-24,15:07:57,Glass,220,30,100,168,9.7549133824e-10,1.0623381672765924e+16,2.80046383077666e-14
52,2022-Oct-24,15:18:49,Glass,220,1,1,1480,1.0109635840000002e-07,1.100968464720189e+18,3.4272887254612706e-13
53,2022-Oct-24,15:10:39,Glass,220,3,100,376,3.8334313062399996e-09,4.174717118041475e+16,1.0467026815584855e-13
54,2022-Oct-24,15:12:36,Glass,220,1,100,560,9.509990400000002e-09,1.0356653489698533e+17,1.189858297343335e-13
55,2022-Oct-24,15:22:24,Glass,220,1,40,648,1.3527949987840001e-08,1.4732327221910797e+17,1.5318242775592162e-13
56,2022-Oct-24,15:24:11,Glass,220,2,100,444,5.53359733504e-09,6.026246898264851e+16,8.256972176918336e-14
57,2022-Oct-24,15:21:02,Glass,220,1,20,960,3.5628774399999995e-08,3.88007616415093e+17,2.1375926944431417e-13
58,2022-Oct-18,16:44:45,Glass,240,3,100,410,4.629063899999999e-09,5.041183931581307e+16,7.425403830899009e-14
59,2022-Oct-18,16:36:28,Glass,240,100,100,60,4.973104e-10,5415853510875651.0,2.006364249535888e-14
60,2022-Oct-18,16:41:18,Glass,240,40,100,160,9.220864000000002e-10,1.0041786511544278e+16,3.428921460313463e-14
61,2022-Oct-18,16:55:27,Glass,240,1,100,600,1.1224e-08,1.2223259317735624e+17,8.544708027475008e-14
62,2022-Oct-18,17:00:19,Glass,240,10,100,300,2.4189999999999996e-09,2.6343606815397784e+16,4.9269522912892204e-14
63,2022-Oct-18,17:04:07,Glass,240,80,100,100,6.19e-10,6741088308694183.0,2.2356304284368262e-14
64,2022-Oct-18,16:53:52,Glass,240,1,100,550,9.109937500000003e-09,9.920984357703512e+16,1.5361190599554695e-13
65,2022-Oct-18,16:57:43,Glass,240,3,100,460,5.998494400000001e-09,6.532533193797662e+16,6.021869010256546e-14
66,2022-Oct-24,17:08:11,Glass,260,80,100,78,5.4528392944e-10,5938299065697589.0,2.056424563568569e-14
67,2022-Oct-24,17:34:26,Glass,260,30,100,172,1.00345778944e-09,1.0927944382329714e+16,3.516127671301316e-14
68,2022-Oct-24,17:24:22,Glass,260,1,10,1070,4.6522959900000005e-08,5.06648434681322e+17,2.1115336874133787e-13
69,2022-Oct-24,17:22:40,Glass,260,1,2,1500,1.0427500000000003e-07,1.1355847873813993e+18,2.483595886807556e-13
70,2022-Oct-24,17:26:51,Glass,260,1,20,784,2.1598840176640002e-08,2.3521759126995494e+17,2.0003836822463047e-13
71,2022-Oct-24,17:17:14,Glass,260,1,20,920,3.2074790399999994e-08,3.493037068970216e+17,1.7915746054138647e-13
72,2022-Oct-24,17:31:55,Glass,260,3,100,400,4.384000000000001e-09,4.774302285188256e+16,7.130964397994453e-14
73,2022-Oct-24,17:11:05,Glass,260,10,100,312,2.6108465766400002e-09,2.843287129819408e+16,4.790662833004988e-14
74,2022-Oct-24,17:15:28,Glass,260,1,50,680,1.52183424e-08,1.6573213252075117e+17,1.2888121470399404e-13
75,2022-Oct-24,17:12:52,Glass,260,2,100,436,5.31067734784e-09,5.783480610786955e+16,8.32785604538863e-14
76,2022-Oct-24,17:29:00,Glass,260,1,100,532,8.41791687424e-09,9.167353961954562e+16,9.14683436119154e-14
77,2022-Oct-24,17:20:41,Glass,260,1,2,1400,8.882399999999998e-08,9.673189465774668e+17,2.167197286867589e-13
