,Date,Time,Substrate,T,A,G,E,E_pump,n,PLQY
49,2022-Oct-26,15:09:36,Silicon,200,2,100,688,1.5660633456639997e-08,1.7054880953360397e+17,2.445189236990965e-14
50,2022-Oct-26,15:11:45,Silicon,200,1,80,1080,4.759479040000001e-08,5.18320977577044e+17,1.8194173251637288e-14
51,2022-Oct-26,15:19:58,Silicon,200,1,50,1200,6.150399999999999e-08,6.697962767979433e+17,2.1565735793364245e-14
52,2022-Oct-26,15:21:52,Silicon,200,3,100,800,2.2704000000000006e-08,2.4725310009788816e+17,9.235212803729434e-15
53,2022-Oct-26,16:28:18,Silicon,240,30,100,550,9.109937500000003e-09,9.920984357703512e+16,2.7502394768446305e-15
54,2022-Oct-26,16:20:00,Silicon,240,1,40,1500,1.0427500000000003e-07,1.1355847873813993e+18,1.977040828440562e-14
55,2022-Oct-26,16:10:51,Silicon,240,20,100,660,1.4147166400000001e-08,1.5406671731856413e+17,3.792891987008298e-15
56,2022-Oct-26,16:12:21,Silicon,240,5,100,1000,3.94e-08,4.290773495356233e+17,5.751662012001515e-15
57,2022-Oct-26,16:32:04,Silicon,240,100,100,400,4.384000000000001e-09,4.774302285188256e+16,2.4323621580293745e-15
58,2022-Oct-26,16:16:40,Silicon,240,1,80,1600,1.2078400000000003e-07,1.3153725529520492e+18,9.649300883440257e-15
59,2022-Oct-26,16:18:49,Silicon,240,1,25,2000,1.944e-07,2.1170719987239887e+18,2.435845910436668e-14
60,2022-Oct-26,16:08:59,Silicon,240,50,100,480,6.6160384e-09,7.20505639872565e+16,2.285829545488535e-15
61,2022-Oct-26,16:25:41,Silicon,240,10,100,800,2.2704000000000006e-08,2.4725310009788816e+17,5.482913086181798e-15
62,2022-Oct-26,16:15:17,Silicon,240,1,100,1400,8.882399999999998e-08,9.673189465774668e+17,8.260303086828823e-15
63,2022-Oct-26,16:22:00,Silicon,240,1,100,1200,6.150399999999999e-08,6.697962767979433e+17,1.1125590060674802e-14
64,2022-Oct-26,17:24:40,Silicon,280,100,100,300,2.4189999999999996e-09,2.6343606815397784e+16,2.7557108255019173e-15
65,2022-Oct-26,17:33:11,Silicon,280,1,100,1600,1.2078400000000003e-07,1.3153725529520492e+18,7.909841103125714e-15
66,2022-Oct-26,17:30:02,Silicon,280,3,100,1000,3.94e-08,4.290773495356233e+17,8.881986690952227e-15
67,2022-Oct-26,17:44:04,Silicon,280,10,100,800,2.2704000000000006e-08,2.4725310009788816e+17,3.775822529667998e-15
68,2022-Oct-26,17:48:10,Silicon,280,100,100,400,4.384000000000001e-09,4.774302285188256e+16,1.8667852928108792e-15
69,2022-Oct-26,17:28:16,Silicon,280,20,100,720,1.7509734399999997e-08,1.9068605145748035e+17,3.5867466419008976e-15
70,2022-Oct-26,17:31:47,Silicon,280,1,100,1400,8.882399999999998e-08,9.673189465774668e+17,8.24773023845147e-15
71,2022-Oct-26,17:26:36,Silicon,280,80,100,450,5.704937500000001e-09,6.212841273518746e+16,2.2230853374991512e-15
72,2022-Oct-26,17:46:29,Silicon,280,80,100,550,9.109937500000003e-09,9.920984357703512e+16,1.6207089069779384e-15
73,2022-Oct-26,17:34:07,Silicon,280,1,20,2100,2.13739e-07,2.3276792795024005e+18,1.846407609229795e-14
74,2022-Oct-26,17:38:07,Silicon,280,1,80,1600,1.2078400000000003e-07,1.3153725529520492e+18,9.532683914028994e-15
75,2022-Oct-26,17:39:31,Silicon,280,2,100,1400,8.882399999999998e-08,9.673189465774668e+17,7.633830116290768e-15
